timestamp,bot_id,event_type,value
2026-04-09T19:50:50.432105,1,energy_delta,-5
2026-04-09T19:50:50.449987,2,collision,-5
2026-04-09T19:50:50.450055,2,energy_delta,-5
2026-04-09T19:50:50.933902,1,collision,-5
2026-04-09T19:50:50.934090,1,energy_delta,-5
2026-04-09T19:50:50.952280,2,collision,-5
2026-04-09T19:50:50.952379,2,energy_delta,-5
2026-04-09T19:50:51.439772,1,collision,-5
2026-04-09T19:50:51.439970,1,energy_delta,-5
2026-04-09T19:50:51.457846,2,collision,-5
2026-04-09T19:50:51.457944,2,energy_delta,-5
2026-04-09T19:50:51.943262,1,collision,-5
2026-04-09T19:50:51.943429,1,energy_delta,-5
2026-04-09T19:50:51.962931,2,collision,-5
2026-04-09T19:50:51.963065,2,energy_delta,-5
2026-04-09T19:50:52.444993,1,collision,-5
2026-04-09T19:50:52.445166,1,energy_delta,-5
2026-04-09T19:50:52.463036,2,collision,-5
2026-04-09T19:50:52.463135,2,energy_delta,-5
2026-04-09T19:50:52.949908,1,collision,-5
2026-04-09T19:50:52.950054,1,energy_delta,-5
2026-04-09T19:50:52.969336,2,collision,-5
2026-04-09T19:50:52.969431,2,energy_delta,-5
2026-04-09T19:50:53.464444,1,collision,-5
2026-04-09T19:50:53.464622,1,energy_delta,-5
2026-04-09T19:50:53.482498,2,collision,-5
2026-04-09T19:50:53.482558,2,energy_delta,-5
2026-04-09T19:50:53.970013,1,collision,-5
2026-04-09T19:50:53.970135,1,energy_delta,-5
2026-04-09T19:50:53.989917,2,collision,-5
2026-04-09T19:50:53.990033,2,energy_delta,-5
2026-04-09T19:50:54.480908,1,collision,-5
2026-04-09T19:50:54.481079,1,energy_delta,-5
2026-04-09T19:50:54.492502,2,collision,-5
2026-04-09T19:50:54.492626,2,energy_delta,-5
2026-04-09T19:50:54.987919,1,collision,-5
2026-04-09T19:50:54.988056,1,energy_delta,-5
2026-04-09T19:50:55.005699,2,collision,-5
2026-04-09T19:50:55.005820,2,energy_delta,-5
2026-04-09T19:50:55.490147,1,collision,-5
2026-04-09T19:50:55.490318,1,energy_delta,-5
2026-04-09T19:50:55.508615,2,collision,-5
2026-04-09T19:50:55.508737,2,energy_delta,-5
2026-04-09T19:50:55.997484,1,collision,-5
2026-04-09T19:50:55.997646,1,energy_delta,-5
2026-04-09T19:50:55.997695,1,proximity,2
2026-04-09T19:50:56.015546,2,collision,-5
2026-04-09T19:50:56.015641,2,energy_delta,-5
2026-04-09T19:50:56.015676,2,proximity,2
2026-04-09T19:50:56.504267,1,collision,-5
2026-04-09T19:50:56.504449,1,energy_delta,-5
2026-04-09T19:50:56.504499,1,proximity,2
2026-04-09T19:50:56.521892,2,collision,-5
2026-04-09T19:50:56.521985,2,energy_delta,-5
